filepath,fps,nframes,duration,width,height,speaker,sentence_id
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_366_370.avi,23.18,643,27.739431,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_161_165.avi,23.18,634,27.351165,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_111_115.avi,23.18,768,33.13201,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_286_290.avi,23.18,636,27.437446,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_056_060.avi,23.18,608,26.229508,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_081_085.avi,23.18,538,23.209664,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_266_270.avi,23.18,626,27.00604,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_061_065.avi,23.18,567,24.460742,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_156_160.avi,23.18,670,28.904228,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_386_390.avi,23.18,664,28.645384,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_011_015.avi,23.18,493,21.268335,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_181_185.avi,23.18,609,26.272649,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_336_340.avi,23.18,578,24.935289,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_191_195.avi,23.18,623,26.876618,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_206_210.avi,23.18,574,24.762726,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_001_005.avi,23.18,501,21.61346,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_071_075.avi,23.18,595,25.66868,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_406_410.avi,23.18,547,23.597929,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_306_310.avi,23.18,610,26.315789,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_236_240.avi,23.18,628,27.092321,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_091_095.avi,23.18,617,26.617774,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_101_105.avi,23.18,542,23.382226,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_171_175.avi,23.18,509,21.958585,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_436_440.avi,23.18,594,25.625539,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_151_155.avi,23.18,672,28.990509,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_016_020.avi,23.18,501,21.61346,68,68,M1,avi
/Users/simone/Downloads/USC-TIMIT/MRI/Data/M1/avi/usctimit_mri_m1_121_125.avi,23.18,655,28.257118,68,68,M1,avi
